LSOA,Unemployed,Full-time student,Unemployment Rate,Eastings,Northings
E01000907,71,26,9.9,528924,186434
E01000908,67,28,8,528705,186466
E01000909,43,20,4.9,528651,186484
E01000912,75,47,8.8,528640,185609
E01000913,20,20,2.1,527087,187419
E01000893,34,17,3.6,527495,185807
E01000894,29,17,3.6,526702,185514
E01000895,28,25,3,526363,185879
E01000896,37,16,3.9,526731,185562
E01000899,21,12,2.5,526122,186087
E01000910,33,30,3.9,528619,185967
E01000911,52,20,6.4,528837,185985
E01000921,63,49,4.8,529113,185066
E01000923,61,35,7.1,529227,185356
E01000928,51,21,5.7,528986,185142
E01000878,33,93,4.5,525505,185526
E01000879,36,65,4.5,526202,185414
E01000880,27,13,3.3,525659,185563
E01000884,25,23,3.4,525667,186369
E01000885,21,17,3.1,525892,186273
E01000871,61,35,6.5,524696,185402
E01000872,70,52,5.5,524497,185091
E01000873,44,15,4.2,524955,185130
E01000874,35,33,3.6,525321,185309
E01000877,54,25,5.2,525213,185417
E01000886,37,24,4.4,528288,185586
E01000887,55,27,5.8,527618,185512
E01000888,58,37,6.6,527987,185418
E01000892,50,30,5,527797,185288
E01000903,57,34,6.9,527849,185125
E01000889,90,50,11.8,528086,185349
E01000890,90,48,13.3,527940,185396
E01000891,88,42,13.8,528274,185235
E01000901,92,84,11.4,528415,184953
E01000922,49,56,6,528593,185177
E01000927,48,37,4.5,528876,184684
E01000881,39,36,4.6,526539,185215
E01000882,25,22,2.6,526728,185068
E01000883,38,17,5,526469,184901
E01000897,30,15,3.3,526566,185411
E01000898,52,33,5,527053,185354
E01000866,81,60,7.1,529245,184688
E01000870,71,46,7.4,529068,184755
E01000924,52,34,5,529222,185274
E01000925,81,41,11.9,529317,185208
E01000926,45,42,3.9,529700,184947
E01000969,56,27,3.9,525518,185040
E01000970,39,20,3.4,525476,184987
E01000971,38,30,4,525091,185152
E01000972,90,58,8.2,525733,184917
E01000973,88,47,7.1,525612,184486
E01000842,35,22,3.9,527303,184788
E01000844,35,22,3.1,526740,184481
E01000848,41,14,3.9,526919,184974
E01000849,33,34,3.2,527349,184920
E01000900,87,36,8.8,528254,184914
E01000902,67,38,10.6,528033,185028
E01000904,100,81,8.8,528430,184615
E01000905,96,62,11.9,528175,184780
E01000906,39,31,3.9,527867,184562
E01000875,60,28,5.7,524735,185124
E01000876,91,47,9.7,525046,184795
E01000931,111,46,10.9,525219,184161
E01000932,54,36,4.2,525374,184181
E01000974,79,55,7.6,525087,184682
E01000843,67,25,6.8,527661,184715
E01000845,33,30,3.7,527527,184564
E01000846,62,37,9.5,527628,184339
E01000847,68,21,8.7,526989,184175
E01000864,55,46,5.8,529798,184584
E01000865,34,128,4.8,529441,184659
E01000867,54,79,7,529505,184307
E01000868,90,30,12.9,529940,184258
E01000869,77,82,6.1,529581,184883
E01000962,50,27,4.4,526181,184296
E01000964,51,21,5.7,525971,184583
E01000965,29,31,3,525481,184059
E01000966,20,24,2,525704,184068
E01000968,39,20,3.8,525544,184454
E01000960,67,40,6.7,526510,184423
E01000961,72,42,10.2,526607,184083
E01000963,38,21,4.2,526758,183708
E01000967,25,18,3.5,527534,183589
E01000857,24,14,3,527774,184253
E01000858,88,50,9.7,528746,184480
E01000859,41,23,4,527850,184112
E01000860,31,21,4.5,527757,183566
E01000862,31,17,2.9,528261,183949
E01000856,100,44,11.9,529071,184370
E01000861,68,55,7.4,529078,184194
E01000957,82,54,8.8,529420,184224
E01000958,93,117,8.4,529677,183424
E01000959,64,82,9.3,529506,183498
E01000929,90,43,12.2,525885,183561
E01000930,85,54,9.3,525722,183359
E01000933,73,42,6.5,525543,183993
E01000934,85,53,11.3,526180,183966
E01000935,70,38,10.4,525939,183864
E01000863,64,75,6.5,528943,183969
E01000946,38,34,4.8,528840,183213
E01000947,89,110,7.9,529013,183262
E01000948,44,38,4.6,528307,183663
E01000952,76,82,10.1,529620,183426
E01000953,61,76,9.1,529878,183272
E01000954,84,49,13.4,529304,183115
E01000955,63,68,10.4,529682,182924
E01000956,74,76,10.9,529790,182652
E01000944,78,72,11.8,528840,182751
E01000945,52,158,6.8,529433,182967
E01000949,70,31,8.5,528810,183014
E01000950,78,62,13.4,529120,182847
E01000951,80,66,13.5,528873,182778
E01000936,73,115,10.2,530838,182623
E01000938,95,135,10.5,530738,182845
E01000939,65,63,13.7,530604,182849
E01000940,57,71,12.2,530628,182537
E01000853,98,35,13.4,530129,182388
E01000937,44,140,7.3,530464,182403
E01000941,67,38,12.1,530319,182554
E01000942,34,228,4.3,530135,182795
E01000943,42,60,7.6,530112,182434
E01000850,31,79,3.1,529749,181753
E01000851,44,197,3.9,529006,182177
E01000852,24,166,4.2,530099,182308
E01000854,49,119,6.5,529591,182398
E01000915,79,35,10.3,530803,181914
E01000916,59,40,5.7,531065,182190
E01000917,121,43,14,531109,181845
E01000920,67,50,5.7,530931,182188
E01000855,53,61,4.5,530361,182166
E01000914,51,47,5,530653,181302
E01000918,86,108,7.6,530262,181177
E01000919,51,97,4.7,530111,181112
E01000001,34,16,3.5,532271,181868
E01000002,16,15,1.7,532641,181777
E01000003,39,43,4.7,532350,181995
E01000005,46,29,8.7,533725,180809
E01032739,23,18,2.7,531727,181119
E01032740,29,23,3.3,531031,181528
E01001808,58,28,8.1,533704,187854
E01001809,74,27,9.7,533349,187762
E01001814,68,43,8.8,533816,187920
E01001823,96,30,14,534449,188044
E01001825,49,11,9.4,534088,188153
E01001714,77,46,10.3,531952,187245
E01001811,90,48,13.5,532603,187719
E01001813,74,69,12.8,532231,187696
E01033701,130,62,16.1,532420,187588
E01001799,52,20,8.1,533362,187442
E01001802,50,32,9.2,533113,187172
E01001804,39,14,6.7,532575,186986
E01001807,106,35,11.8,533178,187844
E01001812,77,30,10.9,533310,187580
E01001725,82,24,11.2,534028,187225
E01001726,87,41,14,533818,187307
E01001800,70,37,11.2,533504,187195
E01001824,82,26,14.5,534322,187376
E01001826,72,26,10.7,533993,187834
E01001723,80,45,7.3,534162,186863
E01001724,89,79,6.1,533704,186694
E01001727,51,37,6,534149,187016
E01001768,84,49,7.4,534287,186396
E01001769,102,51,10,533957,186241
E01001715,60,50,5.9,532113,187165
E01001716,55,40,6.8,531817,187068
E01001717,47,27,7.4,532330,186819
E01001718,45,69,3.4,531636,186806
E01001719,45,39,7.5,532326,186359
E01001720,51,66,3.9,532012,186418
E01001742,66,50,6.4,532932,186338
E01001801,57,36,8.7,532807,186956
E01001803,56,27,5.5,532431,186707
E01001806,74,39,8.5,532754,186437
E01001741,32,39,3.5,532973,186389
E01001805,55,30,6.9,533621,186808
E01001829,59,38,5.3,533313,186220
E01001831,58,40,5.4,533626,186326
E01001832,80,47,7.9,533602,185907
E01001764,96,41,10.1,534090,186180
E01001765,137,42,18.4,533995,186093
E01001767,93,42,10.4,534748,186354
